#node,Magenta Annotation
ABCF2,ATP binding cassette subfamily F member 2
IMMT,"MICOS complex subunit MIC60; Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane. Plays an important role in the maintenance of the MICOS complex stability and the mitochondrial cristae morphology"
INTS8,"Integrator complex subunit 8; Component of the Integrator complex, a complex involved in the small nuclear RNAs (snRNA) U1 and U2 transcription and in their 3'-box-dependent processing. The Integrator complex is associated with the C-terminal domain (CTD) of RNA polymerase II largest subunit (POLR2A) and is recruited to the U1 and U2 snRNAs genes"
IPO4,"Importin-4; Functions in nuclear protein import as nuclear transport receptor. Serves as receptor for nuclear localization signals (NLS) in cargo substrates. Is thought to mediate docking of the importin/substrate complex to the nuclear pore complex (NPC) through binding to nucleoporin and the complex is subsequently translocated through the pore by an energy requiring, Ran- dependent mechanism. At the nucleoplasmic side of the NPC, Ran binds to the importin, the importin/substrate complex dissociates and importin is re-exported from the nucleus to the cytoplasm where GTP hydrolysis re [...] "
IQGAP3,Ras GTPase-activating-like protein IQGAP3; IQ motif containing GTPase activating protein 3
IRAK1,"Interleukin-1 receptor-associated kinase 1; Serine/threonine-protein kinase that plays a critical role in initiating innate immune response against foreign pathogens. Involved in Toll-like receptor (TLR) and IL-1R signaling pathways. Is rapidly recruited by MYD88 to the receptor- signaling complex upon TLR activation. Association with MYD88 leads to IRAK1 phosphorylation by IRAK4 and subsequent autophosphorylation and kinase activation. Phosphorylates E3 ubiquitin ligases Pellino proteins (PELI1, PELI2 and PELI3) to promote pellino-mediated polyubiquitination of IRAK1. Then, the ubiqui [...] "
ISX,Intestine-specific homeobox; Transcription factor that regulates gene expression in intestine. May participate in vitamin A metabolism most likely by regulating BCO1 expression in the intestine (By similarity); PRD class homeoboxes and pseudogenes
KCMF1,E3 ubiquitin-protein ligase KCMF1; Has intrinsic E3 ubiquitin ligase activity and promotes ubiquitination; Belongs to the KCMF1 family
KCTD5,"BTB/POZ domain-containing protein KCTD5; Its interaction with CUL3 suggests that it may act as a substrate adapter in some E3 ligase complex. Does not affect the function of Kv channel Kv2.1/KCNB1, Kv1.2/KCNA2, Kv4.2/KCND2 and Kv3.4/KCNC4"
KIAA0020,Pumilio homolog 3; Inhibits the poly(ADP-ribosyl)ation activity of PARP1 and the degradation of PARP1 by CASP3 following genotoxic stress. Binds to double-stranded RNA or DNA without sequence specificity. Involved in development of the eye and of primordial germ cells (By similarity)
KIAA0101,"PCNA-associated factor; PCNA-binding protein that acts as a regulator of DNA repair during DNA replication. Following DNA damage, the interaction with PCNA is disrupted, facilitating the interaction between monoubiquitinated PCNA and the translesion DNA synthesis DNA polymerase eta (POLH) at stalled replisomes, facilitating the bypass of replication-fork-blocking lesions. Also acts as a regulator of centrosome number"
KIF11,Kinesin-like protein KIF11; Motor protein required for establishing a bipolar spindle during mitosis. Required in non-mitotic cells for transport of secretory proteins from the Golgi complex to the cell surface; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family. BimC subfamily
KIF14,"Kinesin-like protein KIF14; Microtubule motor protein that binds to microtubules with high affinity through each tubulin heterodimer and has an ATPase activity (By similarity). Plays a role in many processes like cell division, cytokinesis and also in cell proliferation and apoptosis. During cytokinesis, targets to central spindle and midbody through its interaction with PRC1 and CIT respectively. Regulates cell growth through regulation of cell cycle progression and cytokinesis. During cell cycle progression acts through SCF-dependent proteasomal ubiquitin-dependent protein catabolic  [...] "
KIF15,Kinesin-like protein KIF15; Plus-end directed kinesin-like motor enzyme involved in mitotic spindle assembly; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family. KLP2 subfamily
KIF18A,"Kinesin-like protein KIF18A; Microtubule-depolymerizing kinesin which plays a role in chromosome congression by reducing the amplitude of preanaphase oscillations and slowing poleward movement during anaphase, thus suppressing chromosome movements. May stabilize the CENPE-BUB1B complex at the kinetochores during early mitosis and maintains CENPE levels at kinetochores during chromosome congression; Kinesins"
KIF18B,"Kinesin-like protein KIF18B; In complex with KIF2C, constitutes the major microtubule plus-end depolymerizing activity in mitotic cells. Its major role may be to transport KIF2C and/or MAPRE1 along microtubules; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family"
KIF20A,"Kinesin-like protein KIF20A; Mitotic kinesin required for chromosome passenger complex (CPC)-mediated cytokinesis. Following phosphorylation by PLK1, involved in recruitment of PLK1 to the central spindle. Interacts with guanosine triphosphate (GTP)-bound forms of RAB6A and RAB6B. May act as a motor required for the retrograde RAB6 regulated transport of Golgi membranes and associated vesicles along microtubules. Has a microtubule plus end-directed motility; Kinesins"
KIF23,Kinesin-like protein KIF23; Component of the centralspindlin complex that serves as a microtubule-dependent and Rho-mediated signaling required for the myosin contractile ring formation during the cell cycle cytokinesis. Essential for cytokinesis in Rho-mediated signaling. Required for the localization of ECT2 to the central spindle. Plus-end-directed motor enzyme that moves antiparallel microtubules in vitro; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
KIF24,"Kinesin-like protein KIF24; Microtubule-dependent motor protein that acts as a negative regulator of ciliogenesis by mediating recruitment of CCP110 to mother centriole in cycling cells, leading to restrict nucleation of cilia at centrioles. Mediates depolymerization of microtubules of centriolar origin, possibly to suppress aberrant cilia formation. Following activation by NEK2 involved in disassembly of primary cilium during G2/M phase but does not disassemble fully formed ciliary axonemes. As cilium assembly and disassembly is proposed to coexist in a dynamic equilibrium may suppres [...] "
KIF2C,"Kinesin-like protein KIF2C; In complex with KIF18B, constitutes the major microtubule plus-end depolymerizing activity in mitotic cells. Regulates the turnover of microtubules at the kinetochore and functions in chromosome segregation during mitosis. Plays a role in chromosome congression and is required for the lateral to end-on conversion of the chromosome- microtubule attachment; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family. MCAK/KIF2 subfamily"
KIF4A,"Chromosome-associated kinesin KIF4A; Motor protein that translocates PRC1 to the plus ends of interdigitating spindle microtubules during the metaphase to anaphase transition, an essential step for the formation of an organized central spindle midzone and midbody and for successful cytokinesis. May play a role in mitotic chromosomal positioning and bipolar spindle stabilization; Kinesins"
KIF4B,"Chromosome-associated kinesin KIF4B; Motor protein that translocates PRC1 to the plus ends of interdigitating spindle microtubules during the metaphase to anaphase transition, an essential step for the formation of an organized central spindle midzone and midbody and for successful cytokinesis. May play a role in mitotic chromosomal positioning and bipolar spindle stabilization (By similarity); Kinesins"
KIFC1,Kinesin-like protein KIFC1; Minus end-directed microtubule-dependent motor required for bipolar spindle formation. May contribute to movement of early endocytic vesicles (By similarity). Regulates cilium formation and structure (By similarity); Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family. NCD subfamily
KNOP1,Lysine rich nucleolar protein 1
KNSTRN,"Small kinetochore-associated protein; Essential component of the mitotic spindle required for faithful chromosome segregation and progression into anaphase. Promotes the metaphase-to-anaphase transition and is required for chromosome alignment, normal timing of sister chromatid segregation, and maintenance of spindle pole architecture. The astrin (SPAG5)-kinastrin (SKAP) complex promotes stable microtubule- kinetochore attachments. Required for kinetochore oscillations and dynamics of microtubule plus-ends during live cell mitosis, possibly by forming a link between spindle microtubule [...] "
